suseptible,Infected,Recovered,dead
0.8978367346938776,0.08420163265306121,0.011647755102040816,0.006313877551020408
0.8999632653061224,0.08177632653061224,0.011956326530612243,0.0063040816326530615
0.9004408163265305,0.08114571428571428,0.012144897959183672,0.006268571428571429
0.8995,0.08060979591836735,0.01370204081632653,0.006188163265306122
0.8982497959183674,0.0802791836734694,0.015244489795918368,0.006226530612244898
0.9003926530612245,0.08149755102040816,0.011774285714285715,0.006335510204081633
0.9019518367346938,0.08050897959183674,0.011200408163265306,0.006338775510204081
0.9013579591836733,0.08204204081632653,0.010314285714285715,0.006285714285714286
0.9000628571428572,0.08314734693877551,0.010408163265306122,0.006381632653061224
0.8942457142857143,0.08279959183673469,0.01654448979591837,0.006410204081632653
0.8949432653061224,0.08423020408163265,0.014502857142857144,0.0063236734693877545
